"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","1117602378","1082220000","0.17","163428","","","/mutual-fund/holding-history/10901/208/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","1087413448.2","1050734000","0.17","772201","","","/mutual-fund/holding-history/10901/658068/"
"Orient Cement Ltd","ORIENTCEM","535754","Basic Materials","709812850.37","1034436000","0.16","2953001","-447267","-13.15","/mutual-fund/holding-history/10901/985/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","1084158990","1023087000","0.16","26553","","","/mutual-fund/holding-history/10901/569/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","1234082601.8","1010339000","0.16","990674","","","/mutual-fund/holding-history/10901/2613901/"
"Belrise Industries Ltd","BELRISE","544405","Consumer Cyclical","1095234791.7","1005977000","0.16","10728130","10728130","New","/mutual-fund/holding-history/10901/3104419/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","1053218708.9","995938000","0.16","1170178","576131","96.98","/mutual-fund/holding-history/10901/728986/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","936707940","994546000","0.16","743419","","","/mutual-fund/holding-history/10901/141324/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","1009363740","962724000","0.15","1899800","","","/mutual-fund/holding-history/10901/182906/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","1006022191.5","958265000","0.15","3282291","","","/mutual-fund/holding-history/10901/1717/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","920086009.71","948282000","0.15","3799967","3799967","New","/mutual-fund/holding-history/10901/162/"
"Rallis India Ltd","RALLIS","500355","Basic Materials","961773522.2","946281000","0.15","2956574","","","/mutual-fund/holding-history/10901/1101/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","945955908","914705000","0.15","1984176","","","/mutual-fund/holding-history/10901/989/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","1056675676","900247000","0.14","1063054","","","/mutual-fund/holding-history/10901/685/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","907704716","885897000","0.14","708038","-995000","-58.43","/mutual-fund/holding-history/10901/346/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","884130402.6","885663000","0.14","1532554","","","/mutual-fund/holding-history/10901/2056/"
"Polyplex Corp Ltd","POLYPLEX","524051","Basic Materials","792242233.3","876010000","0.14","657517","","","/mutual-fund/holding-history/10901/1054/"
"SIS Ltd Ordinary Shares","SIS","540673","Industrials","901537897.2","872231000","0.14","2452497","","","/mutual-fund/holding-history/10901/57882/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","855336704.4","859731000","0.14","1373373","","","/mutual-fund/holding-history/10901/1121044/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","921163764.77","858287000","0.14","13492951","2000000","17.4","/mutual-fund/holding-history/10901/325199/"
