"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3262806255.3","3238804000","0.51","3265582","","","/mutual-fund/holding-history/10901/238/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","3605183222","3179269000","0.5","559898","","","/mutual-fund/holding-history/10901/169/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3448106640","3158345000","0.5","592560","","","/mutual-fund/holding-history/10901/1784/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3428372762","3153204000","0.5","2496994","","","/mutual-fund/holding-history/10901/1500/"
"Styrenix Performance Materials Ltd","STYRENIX","506222","Basic Materials","3152279865","3140826000","0.5","995981","","","/mutual-fund/holding-history/10901/1300/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","3466880000","3123040000","0.5","3200000","3200000","New","/mutual-fund/holding-history/10901/1103/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","3304568224","3101058000","0.49","550028","","","/mutual-fund/holding-history/10901/1023/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","2989646333","3076657000","0.49","1526498","","","/mutual-fund/holding-history/10901/80210/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","3672526312","3068382000","0.49","2002468","","","/mutual-fund/holding-history/10901/209/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3147170400","3067379000","0.49","158948","","","/mutual-fund/holding-history/10901/202203/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","3084781984.5","3027364000","0.48","7707138","","","/mutual-fund/holding-history/10901/1364/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","2662400000","3002200000","0.48","400000","","","/mutual-fund/holding-history/10901/791/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","3373759736.2","2976596000","0.47","1290749","2715","0.21","/mutual-fund/holding-history/10901/74800/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","2974487399","2952674000","0.47","9282220","","","/mutual-fund/holding-history/10901/716755/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","3518904536.4","2944443000","0.47","13819135","","","/mutual-fund/holding-history/10901/4685/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","2856633672.8","2842041000","0.45","2918506","","","/mutual-fund/holding-history/10901/416/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","3318789581.1","2828297000","0.45","1780371","","","/mutual-fund/holding-history/10901/338662/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","3128060000","2806570000","0.45","2600000","","","/mutual-fund/holding-history/10901/402502/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2685312988.6","2751615000","0.44","3574222","","","/mutual-fund/holding-history/10901/606/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","2751952645.2","2715946000","0.43","17737368","","","/mutual-fund/holding-history/10901/878/"
"PG Electroplast Ltd","PGEL","533581","Technology","2566175380","2662644000","0.42","3451480","","","/mutual-fund/holding-history/10901/1031/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","2690769684","2652372000","0.42","1476822","","","/mutual-fund/holding-history/10901/240/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","2740389144","2621166000","0.42","438322","","","/mutual-fund/holding-history/10901/1124672/"
"Honda India Power Products Ltd","HONDAPOWER","522064","Industrials","2649921841","2596954000","0.41","894730","","","/mutual-fund/holding-history/10901/570/"
"RITES Ltd Ordinary Shares","RITES","541556","Industrials","2685480000","2552448000","0.41","9200000","","","/mutual-fund/holding-history/10901/92280/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","2411479012.8","2547206000","0.4","3274464","","","/mutual-fund/holding-history/10901/252/"
"H.G. Infra Engineering Ltd Ordinary Shares","HGINFRA","541019","Industrials","2323011242.4","2480271000","0.39","2214923","","","/mutual-fund/holding-history/10901/78664/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2476017845.4","2479088000","0.39","697686","","","/mutual-fund/holding-history/10901/169265/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","2524599069","2424575000","0.38","5051724","","","/mutual-fund/holding-history/10901/1061/"
"Astra Microwave Products Ltd","ASTRAMICRO","532493","Technology","2334200000","2409880000","0.38","2200000","","","/mutual-fund/holding-history/10901/123/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","2368157726.4","2395356000","0.38","1333272","","","/mutual-fund/holding-history/10901/496/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","2483251989.75","2358624000","0.37","5314611","-8251","-0.16","/mutual-fund/holding-history/10901/747240/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","2593193071.4","2347443000","0.37","2257699","","","/mutual-fund/holding-history/10901/709/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","2404306718","2331666000","0.37","416042","","","/mutual-fund/holding-history/10901/445359/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","2248889187.16","2263053000","0.36","9974228","","","/mutual-fund/holding-history/10901/94299/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","2323474036.5","2258733000","0.36","4813495","","","/mutual-fund/holding-history/10901/14/"
"Chambal Fertilisers & Chemicals Ltd","CHAMBLFERT","500085","Basic Materials","2243251344","2235947000","0.35","4057980","","","/mutual-fund/holding-history/10901/258/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","2242999654.4","2233811000","0.35","4966784","","","/mutual-fund/holding-history/10901/816/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","2181437013","2209777000","0.35","1090010","","","/mutual-fund/holding-history/10901/318/"
"Bajaj Electricals Ltd","BAJAJELEC","500031","Consumer Cyclical","2080371037.4","2102724000","0.33","3062071","","","/mutual-fund/holding-history/10901/146/"
"VST Tillers Tractors Ltd","VSTTILLERS","531266","Industrials","2182538781.3","2089024000","0.33","543691","","","/mutual-fund/holding-history/10901/1503/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","2115234790","2087208000","0.33","3356450","1352055","67.45","/mutual-fund/holding-history/10901/1421/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","2149451213.8","2079796000","0.33","2496604","","","/mutual-fund/holding-history/10901/1544/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","2132915021","2067367000","0.33","2731180","200000","7.9","/mutual-fund/holding-history/10901/2840733/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","2177250440.6","2053384000","0.33","1113911","","","/mutual-fund/holding-history/10901/106807/"
"Lumax Auto Technologies Ltd","LUMAXTECH","532796","Consumer Cyclical","2842500000","2028875000","0.32","2500000","","","/mutual-fund/holding-history/10901/803/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1952677526.2","2028466000","0.32","484271","","","/mutual-fund/holding-history/10901/406/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","2187675000","2017035000","0.32","2700000","","","/mutual-fund/holding-history/10901/674158/"
"City Union Bank Ltd","CUB","532210","Financial Services","2245306756.8","2006056000","0.32","10250670","","","/mutual-fund/holding-history/10901/295/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1942583660.1","2005815000","0.32","1832799","","","/mutual-fund/holding-history/10901/219/"
"JTEKT India Ltd","JTEKTINDIA","520057","Consumer Cyclical","2092945596.6","2001609000","0.32","14429132","","","/mutual-fund/holding-history/10901/1266/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","1927872259.2","1993715000","0.32","1900224","-70494","-3.58","/mutual-fund/holding-history/10901/2013/"
"Allied Blenders and Distillers Ltd","ABDL","544203","Consumer Defensive","2097551576.3","1973382000","0.31","4937158","","","/mutual-fund/holding-history/10901/2365668/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","1831130471.6","1959271000","0.31","4504072","4504072","New","/mutual-fund/holding-history/10901/3110331/"
"Asahi India Glass Ltd","ASAHIINDIA","515030","Consumer Cyclical","2159155024.95","1958170000","0.31","2616999","","","/mutual-fund/holding-history/10901/107/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","1903967511.6","1935697000","0.31","1964676","","","/mutual-fund/holding-history/10901/1087/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","1991510236.8","1924279000","0.31","1145336","","","/mutual-fund/holding-history/10901/139598/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","2074390720.5","1921428000","0.3","5367117","","","/mutual-fund/holding-history/10901/888524/"
"FDC Ltd","FDC","531599","Healthcare","2094181616.8","1875406000","0.3","4272968","15706","0.37","/mutual-fund/holding-history/10901/410/"
"CESC Ltd","CESC","500084","Utilities","1975277063.1","1816964000","0.29","11188202","11188202","New","/mutual-fund/holding-history/10901/256/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","1802558131.09","1815852000","0.29","13032739","","","/mutual-fund/holding-history/10901/81513/"
"Texmaco Rail & Engineering Ltd","TEXRAIL","533326","Industrials","2003496382.63","1814795000","0.29","11408783","","","/mutual-fund/holding-history/10901/1380/"
"Castrol India Ltd","CASTROLIND","500870","Energy","1873773872.2","1809502000","0.29","8368798","","","/mutual-fund/holding-history/10901/241/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","1919937500","1798875000","0.29","3250000","","","/mutual-fund/holding-history/10901/71/"
"Dr. Lal PathLabs Ltd","LALPATHLAB","539524","Healthcare","1777407496","1798709000","0.29","645485","","","/mutual-fund/holding-history/10901/1877/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","1928766546","1796258000","0.29","1509207","91963","6.49","/mutual-fund/holding-history/10901/305194/"
