"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","1300379683.1","1357839000","0.3","808141","","","/mutual-fund/holding-history/8057/141845/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","1419039750.44","1334922000","0.29","10333817","","","/mutual-fund/holding-history/8057/1165/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1515561766.6","1291573000","0.28","813026","","","/mutual-fund/holding-history/8057/338662/"
"Timken India Ltd","TIMKEN","522113","Industrials","1234794630.7","1132146000","0.25","362333","","","/mutual-fund/holding-history/8057/1399/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","1057553152.5","1026699000","0.23","2706470","","","/mutual-fund/holding-history/8057/1476/"
"Wendt (India) Ltd","WENDT","505412","Industrials","1077521380","988562000","0.22","116363","","","/mutual-fund/holding-history/8057/1519/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","922076524","899580000","0.2","229555","","","/mutual-fund/holding-history/8057/631/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","896256141","891582000","0.2","898953","","","/mutual-fund/holding-history/8057/238/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","656478103.68","633132000","0.14","9934596","","","/mutual-fund/holding-history/8057/852172/"
"Sula Vineyards Ltd","SULA","543711","Consumer Defensive","620190797.35","598910000","0.13","2036417","","","/mutual-fund/holding-history/8057/1190656/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","590087000","591117000","0.13","515000","","","/mutual-fund/holding-history/8057/132/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","571758800.6","492571000","0.11","518414","","","/mutual-fund/holding-history/8057/361/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","430437065.2","436850000","0.1","1350179","","","/mutual-fund/holding-history/8057/494/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","432009039.78","408507000","0.09","7057818","","","/mutual-fund/holding-history/8057/856676/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","362260000","350780000","0.08","200000","","","/mutual-fund/holding-history/8057/135/"
"Mahindra &Mah Fin","","","","","143128000","0.03","2133053","2133053","New",""
"NMDC Steel Ltd","NSLNISP","543768","Basic Materials","106732366.65","99278000","0.02","2606407","","","/mutual-fund/holding-history/8057/1368720/"
