"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","458035494.6","482160000","1.58","94569","","","/mutual-fund/holding-history/22851/1878/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","560322700","481372000","1.58","15806","","","/mutual-fund/holding-history/22851/18/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","491382866.2","476875000","1.56","1174714","","","/mutual-fund/holding-history/22851/1026/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","464651884.8","472378000","1.55","396224","","","/mutual-fund/holding-history/22851/140/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","493300558.8","453575000","1.48","359182","","","/mutual-fund/holding-history/22851/1500/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","434960096","434656000","1.42","189856","-50474","-21","/mutual-fund/holding-history/22851/284/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","453797448.6","422976000","1.38","231046","-16765","-6.77","/mutual-fund/holding-history/22851/2170198/"
"State Bank of India","SBIN","500112","Financial Services","415971358.6","416484000","1.36","512722","","","/mutual-fund/holding-history/22851/1193/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","453027256.5","413869000","1.35","60151","","","/mutual-fund/holding-history/22851/93/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","398705397.3","413555000","1.35","98731","-25485","-20.52","/mutual-fund/holding-history/22851/406/"
"Bharat Bijlee Ltd","BBL","503960","Industrials","418587441","413547000","1.35","138858","","","/mutual-fund/holding-history/22851/170/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","456999324.6","410337000","1.34","161182","","","/mutual-fund/holding-history/22851/490/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","445511920","402332000","1.32","274330","7331","2.75","/mutual-fund/holding-history/22851/1071/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","394024838.6","395779000","1.3","91843","","","/mutual-fund/holding-history/22851/540/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","414689645","388806000","1.27","10091","","","/mutual-fund/holding-history/22851/569/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","400968694","387465000","1.27","1483970","175591","13.42","/mutual-fund/holding-history/22851/808/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","350231445","363056000","1.19","696978","-135204","-16.25","/mutual-fund/holding-history/22851/1373/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","342462884.4","360043000","1.18","459004","59029","14.76","/mutual-fund/holding-history/22851/279/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","369407028","357818000","1.17","29046","","","/mutual-fund/holding-history/22851/842/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","354152491.2","357609000","1.17","553104","","","/mutual-fund/holding-history/22851/1771/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","334797637.5","339247000","1.11","144465","25501","21.44","/mutual-fund/holding-history/22851/560/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","340480059.6","334059000","1.09","850456","","","/mutual-fund/holding-history/22851/1364/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","356781130","329924000","1.08","717148","23007","3.31","/mutual-fund/holding-history/22851/515/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","378738010.9","325104000","1.06","342161","","","/mutual-fund/holding-history/22851/361/"
"Transport Corp of India Ltd","TCI","532349","Industrials","325989025","322743000","1.06","287215","","","/mutual-fund/holding-history/22851/1368/"
"JSW Infrastructure Ltd","JSWINFRA","543994","Industrials","341213551.6","322371000","1.06","1108376","264876","31.4","/mutual-fund/holding-history/22851/1698179/"
"LTIMindtree Ltd","LTIM","540005","Technology","336852270","321013000","1.05","63330","","","/mutual-fund/holding-history/22851/4596/"
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","302794980","317095000","1.04","175026","","","/mutual-fund/holding-history/22851/91/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","343659855","316626000","1.04","210705","","","/mutual-fund/holding-history/22851/845/"
"Schneider Electric Infrastructure Ltd","SCHNEIDER","534139","Industrials","348502716","316578000","1.04","420897","","","/mutual-fund/holding-history/22851/1195/"
"Infosys Ltd","INFY","500209","Technology","327807494.3","315998000","1.03","202213","","","/mutual-fund/holding-history/22851/630/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","311816992.5","315467000","1.03","285155","","","/mutual-fund/holding-history/22851/1359/"
"KEI Industries Ltd","KEI","517569","Industrials","329856926.4","309730000","1.01","85793","-8688","-9.2","/mutual-fund/holding-history/22851/729/"
