"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","622224587.2","677502000","0.11","437324","","","/mutual-fund/holding-history/10906/580869/"
"Bajel Projects Ltd","BAJEL","544042","Utilities","632307448.6","667863000","0.11","3152081","63074","2.04","/mutual-fund/holding-history/10906/1845603/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","570382382.95","665769000","0.11","7755029","","","/mutual-fund/holding-history/10906/1029/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","733871013.15","650404000","0.1","2594559","","","/mutual-fund/holding-history/10906/614/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","687249651","642171000","0.1","1152910","","","/mutual-fund/holding-history/10906/1381687/"
"Cyient DLM Ltd","CYIENTDLM","543933","Technology","564132024.9","607846000","0.1","1256139","","","/mutual-fund/holding-history/10906/1513580/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","644842270.4","604006000","0.1","258952","","","/mutual-fund/holding-history/10906/149049/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","560005290.4","578158000","0.09","1243351","","","/mutual-fund/holding-history/10906/2863354/"
"Gabriel India Ltd","GABRIEL","505714","Consumer Cyclical","515415311.7","571714000","0.09","868141","","","/mutual-fund/holding-history/10906/429/"
"3M India Ltd","3MINDIA","523395","Industrials","517205070","530990000","0.08","18138","","","/mutual-fund/holding-history/10906/10/"
"Aeroflex Industries Ltd","AEROFLEX","543972","Industrials","613678959.9","486253000","0.08","2931354","","","/mutual-fund/holding-history/10906/1617407/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","565304054","478006000","0.08","761096","-77834","-9.28","/mutual-fund/holding-history/10906/4957/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","446500000","474450000","0.08","500000","500000","New","/mutual-fund/holding-history/10906/677/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","429373950.4","452127000","0.07","357752","357752","New","/mutual-fund/holding-history/10906/168/"
"Capital Small Finance Bank Ltd","CAPITALSFB","544120","Financial Services","435517969.2","444115000","0.07","1495084","","","/mutual-fund/holding-history/10906/1998221/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","427024165","424615000","0.07","1003700","","","/mutual-fund/holding-history/10906/2734936/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","435554734","421753000","0.07","768920","128972","20.15","/mutual-fund/holding-history/10906/2618334/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","404541502.6","411420000","0.07","625354","","","/mutual-fund/holding-history/10906/1528/"
"R K Swamy Ltd","RKSWAMY","544136","Communication Services","396350536.37","403308000","0.06","2114659","","","/mutual-fund/holding-history/10906/2102499/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","384085970","399506000","0.06","1346725","","","/mutual-fund/holding-history/10906/1650515/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","339520296","346312000","0.05","1386080","","","/mutual-fund/holding-history/10906/2484735/"
"Astec Lifesciences Ltd","ASTEC","533138","Basic Materials","348937712.1","309890000","0.05","461009","","","/mutual-fund/holding-history/10906/121/"
"Credo Brands Marketing Ltd","MUFTI","544058","Consumer Cyclical","282778670.01","291582000","0.05","1696231","","","/mutual-fund/holding-history/10906/1839759/"
"Fusion Finance Ltd","FUSION","543652","Financial Services","320210959.2","286204000","0.05","1682664","-1936010","-53.5","/mutual-fund/holding-history/10906/755078/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","257582812.5","282311000","0.04","176125","","","/mutual-fund/holding-history/10906/612873/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","220711724.8","251439000","0.04","125776","","","/mutual-fund/holding-history/10906/1544933/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","193488696","216544000","0.03","494224","","","/mutual-fund/holding-history/10906/1419/"
"JNK India Ltd","JNKINDIA","544167","Industrials","206033727.5","203565000","0.03","574150","","","/mutual-fund/holding-history/10906/2217258/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","194163907.2","184755000","0.03","401248","401248","New","/mutual-fund/holding-history/10906/130968/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","129860608.95","135475000","0.02","204521","204521","New","/mutual-fund/holding-history/10906/4714/"
