"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","194702440","188383000","0.15","90800","90800","New","/mutual-fund/holding-history/384583/758/"
"HeidelbergCement India Ltd","HEIDELBERG","500292","Basic Materials","196888852.16","182304000","0.14","923104","","","/mutual-fund/holding-history/384583/536/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","167239032.8","159478000","0.12","50234","","","/mutual-fund/holding-history/384583/1409/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","113045829","113695000","0.09","119121","","","/mutual-fund/holding-history/384583/829878/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","119610718","112796000","0.09","127144","127144","New","/mutual-fund/holding-history/384583/1355/"
"3M India Ltd","3MINDIA","523395","Industrials","104760180","106971000","0.08","3654","","","/mutual-fund/holding-history/384583/10/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","104093656.26","103090000","0.08","673266","-52511","-7.24","/mutual-fund/holding-history/384583/878/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","77830200","79122000","0.06","51475","-75000","-59.3","/mutual-fund/holding-history/384583/1036/"
"Oil India Ltd","OIL","533106","Energy","66416376.6","63076000","0.05","147789","","","/mutual-fund/holding-history/384583/965/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","43915084.5","37803000","0.03","113505","113505","New","/mutual-fund/holding-history/384583/2755533/"
"Sagar Cements Ltd","SAGCEM","502090","Basic Materials","19744043.61","18855000","0.01","78527","","","/mutual-fund/holding-history/384583/1163/"
