"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","86573150079.3","84200690000","8.11","43293069","480000","1.12","/mutual-fund/holding-history/15631/533/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","76863684018","71347966000","6.87","5318918","","","/mutual-fund/holding-history/15631/149/"
"Coal India Ltd","COALINDIA","533278","Energy","60248768364","61852289000","5.95","155681572","7357797","4.96","/mutual-fund/holding-history/15631/275/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","61689028529.7","60519370000","5.83","208867542","15250894","7.88","/mutual-fund/holding-history/15631/1057/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","50020542178","50583829000","4.87","34986740","","","/mutual-fund/holding-history/15631/584/"
"ITC Ltd","ITC","500875","Consumer Defensive","45199812231.85","45680603000","4.4","109270669","3999573","3.8","/mutual-fund/holding-history/15631/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","42356855377.6","40982030000","3.95","19753232","","","/mutual-fund/holding-history/15631/758/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","38441685740","37223953000","3.58","3021670","","","/mutual-fund/holding-history/15631/842/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","39118380326.8","36410354000","3.51","12231374","1191162","10.79","/mutual-fund/holding-history/15631/807/"
"Meta Platforms Inc Class A","","","Communication Services","","32743290000","3.15","591056","","",""
"Axis Bank Ltd","AXISBANK","532215","Financial Services","31991857799","32496117000","3.13","27257270","","","/mutual-fund/holding-history/15631/140/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","31606198593.6","30017818000","2.89","18341573","-365400","-1.95","/mutual-fund/holding-history/15631/531/"
"Microsoft Corp","","","Technology","","28871772000","2.78","733019","","",""
"Alphabet Inc Class A","","","Communication Services","","27697198000","2.67","1884967","","",""
"Amazon.com Inc","","","Consumer Cyclical","","24087283000","2.32","1373258","","",""
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","23933245758.4","21901445000","2.11","11799076","11032426","1439.04","/mutual-fund/holding-history/15631/187/"
"Infosys Ltd","INFY","500209","Technology","15094168558.7","14543225000","1.4","9306473","","","/mutual-fund/holding-history/15631/630/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","14225640599.5","13260345000","1.28","14258435","322152","2.31","/mutual-fund/holding-history/15631/229/"
"Cipla Ltd","CIPLA","500087","Healthcare","13401927579.1","13018229000","1.25","8881919","887725","11.1","/mutual-fund/holding-history/15631/268/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","13309510500","12939285000","1.25","10341500","-62170","-0.6","/mutual-fund/holding-history/15631/346/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","10740785736","10356229000","1","4189074","","","/mutual-fund/holding-history/15631/153/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","9921217800","9217378000","0.89","6487000","","","/mutual-fund/holding-history/15631/1127/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","8682173097.6","8865630000","0.85","44206584","","","/mutual-fund/holding-history/15631/63143/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","7159528025","5266541000","0.51","797719","","","/mutual-fund/holding-history/15631/853/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","4858760531","4367492000","0.42","5392631","-3193318","-37.19","/mutual-fund/holding-history/15631/879/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","4100206130.2","3480674000","0.34","1995914","","","/mutual-fund/holding-history/15631/1886/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","4058168576","3464163000","0.33","2264603","","","/mutual-fund/holding-history/15631/53219/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","3587415449.6","3081344000","0.3","3243008","254799","8.53","/mutual-fund/holding-history/15631/361/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","270429750","2716280000","0.26","295875","13250","4.69","/mutual-fund/holding-history/15631/150/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2327729148","2338232000","0.23","1641095","-216122","-11.64","/mutual-fund/holding-history/15631/642/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","1959621422.5","1986173000","0.19","573475","10500","1.87","/mutual-fund/holding-history/15631/1372/"
"ICRA Ltd","ICRA","532835","Financial Services","1975539482","1937029000","0.19","287393","","","/mutual-fund/holding-history/15631/586/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","1775816212.5","1565066000","0.15","5459850","320100","6.23","/mutual-fund/holding-history/15631/1564869/"
"Larsen & Toubro Ltd","LT","500510","Industrials","1070820000","1093158000","0.11","297450","","","/mutual-fund/holding-history/15631/800/"
"Maharashtra Scooters Ltd","MAHSCOOTER","500266","Consumer Cyclical","1207755653","1072207000","0.1","80159","","","/mutual-fund/holding-history/15631/819/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","874478220","907002000","0.09","1260600","","","/mutual-fund/holding-history/15631/1362/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","790800010","786207000","0.08","468650","4900","1.06","/mutual-fund/holding-history/15631/1316/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","810058200","732579000","0.07","1156400","93800","8.83","/mutual-fund/holding-history/15631/549/"
"NTPC Ltd","NTPC","532555","Utilities","602514900","599017000","0.06","1794000","1392000","346.27","/mutual-fund/holding-history/15631/959/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","537147380","524442000","0.05","2190650","677600","44.78","/mutual-fund/holding-history/15631/974/"
"Bharat Electronics Ltd","BEL","500049","Industrials","579743010","521748000","0.05","1356600","82650","6.49","/mutual-fund/holding-history/15631/175/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","505993600","476416000","0.05","3688000","2528000","217.93","/mutual-fund/holding-history/15631/1165/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","526347150","437859000","0.04","2055000","1530000","291.43","/mutual-fund/holding-history/15631/4685/"
"DLF Ltd","DLF","532868","Real Estate","449737200","431796000","0.04","541200","391050","260.44","/mutual-fund/holding-history/15631/337/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","371375640","376198000","0.04","160200","39000","32.18","/mutual-fund/holding-history/15631/560/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","327034890","313497000","0.03","984600","","","/mutual-fund/holding-history/15631/215/"
"Hindustan Copper Ltd","HINDCOPPER","513599","Basic Materials","337599930","296467000","0.03","1197800","","","/mutual-fund/holding-history/15631/551/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","313972425","287021000","0.03","53850","53400","11866.67","/mutual-fund/holding-history/15631/1784/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","266759100","255884000","0.02","38700","38700","New","/mutual-fund/holding-history/15631/336/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","271384225","243760000","0.02","95750","","","/mutual-fund/holding-history/15631/490/"
"Lupin Ltd","LUPIN","500257","Healthcare","235123600","236294000","0.02","120700","115175","2084.62","/mutual-fund/holding-history/15631/804/"
"Punjab National Bank","PNB","532461","Financial Services","240713040","229418000","0.02","2168000","-1248000","-36.53","/mutual-fund/holding-history/15631/1048/"
