"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","861336271","899580000","0.2","229555","","","/mutual-fund/holding-history/8058/631/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","843038123.4","891582000","0.2","898953","","","/mutual-fund/holding-history/8058/238/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","616143643.92","633132000","0.14","9934596","","","/mutual-fund/holding-history/8058/852172/"
"Sula Vineyards Ltd","SULA","543711","Consumer Defensive","609295966.4","598910000","0.13","2036417","","","/mutual-fund/holding-history/8058/1190656/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","565058000","591117000","0.13","515000","","","/mutual-fund/holding-history/8058/132/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","495163132.1","492571000","0.11","518414","","","/mutual-fund/holding-history/8058/361/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","427466671.4","436850000","0.1","1350179","","","/mutual-fund/holding-history/8058/494/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","422763298.2","408507000","0.09","7057818","","","/mutual-fund/holding-history/8058/856676/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","356000000","350780000","0.08","200000","","","/mutual-fund/holding-history/8058/135/"
"Mahindra &Mah Fin","","","","","143128000","0.03","2133053","2133053","New",""
"NMDC Steel Ltd","NSLNISP","543768","Basic Materials","97636006.22","99278000","0.02","2606407","","","/mutual-fund/holding-history/8058/1368720/"
