"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","446193000","474870000","0.53","660000","","","/mutual-fund/holding-history/609497/1362/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","438165000","459315000","0.51","150000","","","/mutual-fund/holding-history/609497/67548/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","518540042.25","457947000","0.51","660771","","","/mutual-fund/holding-history/609497/54902/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","512079880.4","439723000","0.49","407642","","","/mutual-fund/holding-history/609497/1253626/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","462676868.9","438329000","0.49","350327","","","/mutual-fund/holding-history/609497/346/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","391342500","434880000","0.49","450000","","","/mutual-fund/holding-history/609497/752902/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","411713459.4","428012000","0.48","964426","","","/mutual-fund/holding-history/609497/747240/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","451483023.15","396379000","0.44","1190149","200000","20.2","/mutual-fund/holding-history/609497/2755533/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","377404411.5","386646000","0.43","397477","","","/mutual-fund/holding-history/609497/1833301/"
"Siemens Engy Ind","","","","","368184000","0.41","148572","","",""
"Kansai Nerolac Paints Ltd","KANSAINER","500165","Basic Materials","316423050","336026000","0.38","1324500","","","/mutual-fund/holding-history/609497/718/"
"Welspun Living Ltd","WELSPUNLIV","514162","Consumer Cyclical","323098841.88","331188000","0.37","2496514","","","/mutual-fund/holding-history/609497/1518/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","327156555","321025000","0.36","281910","136199","93.47","/mutual-fund/holding-history/609497/712/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","311194913.55","306090000","0.34","474853","100000","26.68","/mutual-fund/holding-history/609497/2278178/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","268200000","286560000","0.32","200000","","","/mutual-fund/holding-history/609497/27/"
"Somany Ceramics Ltd","SOMANYCERA","531548","Industrials","327257218","282540000","0.32","590717","","","/mutual-fund/holding-history/609497/1264/"
"Atul Ltd","ATUL","500027","Basic Materials","245136663","251733000","0.28","35274","","","/mutual-fund/holding-history/609497/129/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","239020000","249764000","0.28","17000","","","/mutual-fund/holding-history/609497/60393/"
"Cyient Ltd","CYIENT","532175","Industrials","237580988","247275000","0.28","183602","","","/mutual-fund/holding-history/609497/301/"
"Mphasis Ltd","MPHASIS","526299","Technology","254077500","243086000","0.27","95000","-50000","-34.48","/mutual-fund/holding-history/609497/881/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","220218857.95","213086000","0.24","633997","-76856","-10.81","/mutual-fund/holding-history/609497/2350518/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","212579253.6","202345000","0.23","170009","2349","1.4","/mutual-fund/holding-history/609497/305194/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","189100000","176160000","0.2","100000","","","/mutual-fund/holding-history/609497/710819/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","96849324","100470000","0.11","903024","903024","New","/mutual-fund/holding-history/609497/2789016/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","59396607","61501000","0.07","207318","-54435","-20.8","/mutual-fund/holding-history/609497/1650515/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","537111.1","580000","0","191","","","/mutual-fund/holding-history/609497/300864/"
